"card","pools","type","rarity","cost","target","keywords","coverage","confidence","needed_editor_effects","blockers_or_review_points","source_primitives","applied_powers","dynamic_vars","override_methods","note","source_file"
"Envenom","Silent","Power","Rare","2","Self","","Exact","High","ApplyPower; ApplyPower:EnvenomPower","supported primitives only","ApplyPower","EnvenomPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Envenom.cs"
"EscapePlan","Silent","Skill","Uncommon","0","Self","","Almost","Medium","GainBlock; DrawCards","conditional branch","GainBlock;DrawCards","","BlockVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\EscapePlan.cs"
"Expertise","Silent","Skill","Uncommon","1","Self","","Almost","Medium","DrawCards","pile scan","DrawCards","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Expertise.cs"
"Expose","Silent","Skill","Uncommon","0","AnyEnemy","Exhaust","Almost","Medium","ApplyVulnerable","conditional branch","ApplyVulnerable","VulnerablePower","DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Expose.cs"
"FanOfKnives","Silent","Power","Rare","2","Self","","Almost","Medium","ApplyPower; ApplyPower:FanOfKnivesPower; AddSpecificCardToHand:Shiv","loop/repeat","ApplyPower;AddSpecificCardToHand","FanOfKnivesPower","CardsVar","OnEnqueuePlayVfx;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FanOfKnives.cs"
"Finisher","Silent","Attack","Uncommon","1","AnyEnemy","","Almost","Medium","DealDamage","calculated amount","DealDamage","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Finisher.cs"
"Flanking","Silent","Skill","Uncommon","2","AnyEnemy","","Exact","High","ApplyPower; ApplyPower:FlankingPower","supported primitives only","ApplyPower","FlankingPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Flanking.cs"
"Flechettes","Silent","Attack","Uncommon","1","AnyEnemy","","Almost","Medium","DealDamage","calculated amount","DealDamage","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Flechettes.cs"
"FlickFlack","Silent","Attack","Common","1","AllEnemies","Sly","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FlickFlack.cs"
"FollowThrough","Silent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar;DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\FollowThrough.cs"
"Footwork","Silent","Power","Uncommon","1","Self","","Exact","High","GainDexterity","supported primitives only","GainDexterity","DexterityPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Footwork.cs"
"GrandFinale","Silent","Attack","Rare","0","AllEnemies","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\GrandFinale.cs"
"HandTrick","Silent","Skill","Uncommon","1","Self","Sly","Almost","High","GainBlock; GrantKeywordToPile","negative keyword filter","GainBlock","","BlockVar","OnPlay;OnUpgrade","Gain block and grant Sly to a selected Skill in hand; missing exact filter for not already Sly this turn.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HandTrick.cs"
"Haze","Silent","Skill","Uncommon","3","AllEnemies","Sly","Almost","Medium","ApplyPoison","loop/repeat","ApplyPoison","PoisonPower","PowerVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Haze.cs"
"HiddenDaggers","Silent","Skill","Uncommon","0","Self","","Exact","High","DiscardCards; AddSpecificCardToHand; CreatedCardsUpgraded","","DiscardCards;UpgradeCardsInPile;AddSpecificCardToHand","","CardsVar;DynamicVar","OnPlay","Discard two selected cards, create two Shivs in hand; upgrade can upgrade created Shivs.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\HiddenDaggers.cs"
"InfiniteBlades","Silent","Power","Uncommon","1","Self","Innate","Exact","High","ApplyPower; ApplyPower:InfiniteBladesPower","supported primitives only","ApplyPower","InfiniteBladesPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\InfiniteBlades.cs"
"KnifeTrap","Silent","Skill","Rare","2","AnyEnemy","","Almost","Medium","UpgradeCardsInPile","conditional branch; loop/repeat; custom card filter; pile scan","UpgradeCardsInPile","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DynamicVar","OnPlay","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\KnifeTrap.cs"
"LeadingStrike","Silent","Attack","Common","1","AnyEnemy","","Almost","Medium","DealDamage; AddSpecificCardToHand:Shiv","loop/repeat","DealDamage;AddSpecificCardToHand","","CardsVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\LeadingStrike.cs"
"LegSweep","Silent","Skill","Uncommon","2","AnyEnemy","","Exact","High","GainBlock; ApplyWeak","supported primitives only","GainBlock;ApplyWeak","WeakPower","BlockVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\LegSweep.cs"
"Malaise","Silent","Skill","Rare","0","AnyEnemy","Exhaust","Almost","Medium","GainStrength; ApplyWeak","conditional branch","GainStrength;ApplyWeak","StrengthPower;WeakPower","","OnPlay","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Malaise.cs"
"MasterPlanner","Silent","Power","Rare","2","Self","Sly","Exact","High","ApplyPower; ApplyPower:MasterPlannerPower","supported primitives only","ApplyPower","MasterPlannerPower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MasterPlanner.cs"
"MementoMori","Silent","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\MementoMori.cs"
"Mirage","Silent","Skill","Uncommon","1","Self","Exhaust","Almost","Medium","GainBlock","calculated amount","GainBlock","","CalculatedBlockVar;CalculationBaseVar;CalculationExtraVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Mirage.cs"
"Murder","Silent","Attack","Rare","3","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Murder.cs"
"Neutralize","Silent","Attack","Basic","0","AnyEnemy","","Almost","Medium","DealDamage; ApplyWeak","conditional branch","DealDamage;ApplyWeak","WeakPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Neutralize.cs"
"Nightmare","Silent","Skill","Rare","3","Self","Exhaust","Partial","High","ApplyPower; card selector payload","power payload selected card","ApplyPower","NightmarePower","","OnPlay;OnUpgrade","Generic ApplyPower can apply NightmarePower, but cannot pass the selected hand card into NightmarePower.SetSelectedCard.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Nightmare.cs"
"NoxiousFumes","Silent","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:NoxiousFumesPower","supported primitives only","ApplyPower","NoxiousFumesPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\NoxiousFumes.cs"
"Outbreak","Silent","Power","Uncommon","1","Self","","Exact","High","ApplyPower; ApplyPower:OutbreakPower","supported primitives only","ApplyPower","OutbreakPower","DynamicVar;PowerVar;RepeatVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Outbreak.cs"
"PhantomBlades","Silent","Power","Uncommon","1","Self","Retain","Exact","High","ApplyPower; ApplyPower:PhantomBladesPower","supported primitives only","ApplyPower","PhantomBladesPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PhantomBlades.cs"
"PiercingWail","Silent","Skill","Common","1","AllEnemies","Exhaust","Almost","Medium","ApplyPower; ApplyPower:PiercingWailPower","loop/repeat","ApplyPower","PiercingWailPower","DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PiercingWail.cs"
"Pinpoint","Silent","Attack","Uncommon","3","AnyEnemy","","Almost","Medium","DealDamage","combat history count; conditional branch","DealDamage","","DamageVar","AfterCardEnteredCombat;AfterCardPlayed;OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Pinpoint.cs"
"PoisonedStab","Silent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; ApplyPoison","supported primitives only","DealDamage;ApplyPoison","PoisonPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PoisonedStab.cs"
"Pounce","Silent","Attack","Uncommon","2","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:FreeSkillPower","supported primitives only","DealDamage;ApplyPower","FreeSkillPower","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Pounce.cs"
"PreciseCut","Silent","Attack","Uncommon","0","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","CalculatedDamageVar;CalculationBaseVar;DynamicVar;ExtraDamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\PreciseCut.cs"
"Predator","Silent","Attack","Uncommon","2","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:DrawCardsNextTurnPower","supported primitives only","DealDamage;ApplyPower","DrawCardsNextTurnPower","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Predator.cs"
"Prepared","Silent","Skill","Common","0","Self","","Exact","High","DrawCards; DiscardCards","supported selector/pile operation","DrawCards;DiscardCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Prepared.cs"
"Reflex","Silent","Skill","Uncommon","3","Self","Sly","Exact","High","DrawCards","supported primitives only","DrawCards","","CardsVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Reflex.cs"
"Ricochet","Silent","Attack","Common","2","RandomEnemy","Sly","Almost","Medium","DealDamage","randomness","DealDamage","","DamageVar;DynamicVar;RepeatVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Ricochet.cs"
"SerpentForm","Silent","Power","Rare","3","Self","","Exact","High","ApplyPower; ApplyPower:SerpentFormPower","supported primitives only","ApplyPower","SerpentFormPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SerpentForm.cs"
"ShadowStep","Silent","Skill","Rare","1","Self","","Almost","Medium","DiscardCards; ApplyPower; ApplyPower:ShadowStepPower","pile scan","DiscardCards;ApplyPower","ShadowStepPower","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ShadowStep.cs"
"Shadowmeld","Silent","Skill","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:ShadowmeldPower","supported primitives only","ApplyPower","ShadowmeldPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Shadowmeld.cs"
"Skewer","Silent","Attack","Uncommon","0","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Skewer.cs"
"Slice","Silent","Attack","Common","0","AnyEnemy","","Almost","Medium","DealDamage","conditional branch","DealDamage","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Slice.cs"
"Snakebite","Silent","Skill","Common","2","AnyEnemy","Retain","Exact","High","ApplyPoison","supported primitives only","ApplyPoison","PoisonPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Snakebite.cs"
"Sneaky","Silent","Power","Rare","2","Self","Sly","Exact","High","ApplyPower; ApplyPower:SneakyPower","supported primitives only","ApplyPower","SneakyPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Sneaky.cs"
"Speedster","Silent","Power","Uncommon","2","Self","Innate","Exact","High","ApplyPower; ApplyPower:SpeedsterPower","supported primitives only","ApplyPower","SpeedsterPower","PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Speedster.cs"
"StormOfSteel","Silent","Skill","Rare","1","Self","","Almost","Medium","DiscardCards; UpgradeCardsInPile; AddSpecificCardToHand:Shiv","conditional branch; loop/repeat; pile scan","DiscardCards;UpgradeCardsInPile;AddSpecificCardToHand","","","OnPlay","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\StormOfSteel.cs"
"Strangle","Silent","Attack","Uncommon","1","AnyEnemy","","Exact","High","DealDamage; ApplyPower; ApplyPower:StranglePower","supported primitives only","DealDamage;ApplyPower","StranglePower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Strangle.cs"
"StrikeSilent","Silent","Attack","Basic","1","AnyEnemy","","Exact","High","DealDamage","supported primitives only","DealDamage","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\StrikeSilent.cs"
"SuckerPunch","Silent","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; ApplyWeak","supported primitives only","DealDamage;ApplyWeak","WeakPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\SuckerPunch.cs"
"Suppress","Silent","Attack","Ancient","0","AnyEnemy","Innate","Almost","Medium","DealDamage; ApplyWeak","conditional branch","DealDamage;ApplyWeak","WeakPower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Suppress.cs"
"Survivor","Silent","Skill","Basic","1","Self","","Exact","High","GainBlock; DiscardCards","supported selector/pile operation","GainBlock;DiscardCards","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing editor selector and pile operation effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Survivor.cs"
"Tactician","Silent","Skill","Uncommon","3","Self","Sly","Exact","High","GainEnergy","supported primitives only","GainEnergy","","EnergyVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Tactician.cs"
"TheHunt","Silent","Attack","Rare","1","AnyEnemy","Exhaust","Almost","Medium","DealDamage; AddCardReward; ApplyPower; ApplyPower:TheHuntPower","conditional branch","DealDamage;AddCardReward;ApplyPower","TheHuntPower","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\TheHunt.cs"
"ToolsOfTheTrade","Silent","Power","Rare","1","Self","","Exact","High","ApplyPower; ApplyPower:ToolsOfTheTradePower","supported primitives only","ApplyPower","ToolsOfTheTradePower","","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\ToolsOfTheTrade.cs"
"Tracking","Silent","Power","Rare","2","Self","","Almost","Medium","ApplyPower; ApplyPower:TrackingPower","conditional branch","ApplyPower","TrackingPower","","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Tracking.cs"
"Untouchable","Silent","Skill","Common","2","Self","Sly","Exact","High","GainBlock","supported primitives only","GainBlock","","BlockVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Untouchable.cs"
"UpMySleeve","Silent","Skill","Uncommon","2","Self","","Almost","Medium","AddSpecificCardToHand:Shiv","loop/repeat","AddSpecificCardToHand","","CardsVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\UpMySleeve.cs"
"WellLaidPlans","Silent","Power","Uncommon","1","Self","Retain","Exact","High","ApplyPower; ApplyPower:WellLaidPlansPower","supported primitives only","ApplyPower","WellLaidPlansPower","DynamicVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\WellLaidPlans.cs"
"WraithForm","Silent","Power","Ancient","3","Self","","Exact","High","GainIntangible; ApplyPower; ApplyPower:WraithFormPower","supported primitives only","GainIntangible;ApplyPower","IntangiblePower;WraithFormPower","DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\WraithForm.cs"
"AdaptiveStrike","Defect","Attack","Rare","2","AnyEnemy","","Exact","High","DealDamage; AddSpecificCardToHand","supported primitives only","DealDamage;AddSpecificCardToHand","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\AdaptiveStrike.cs"
"AllForOne","Defect","Attack","Rare","2","AnyEnemy","","Almost","Medium","DealDamage; MoveCardsBetweenPiles","loop/repeat; custom card filter; pile scan","DealDamage;MoveCardsBetweenPiles","","DamageVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\AllForOne.cs"
"BallLightning","Defect","Attack","Common","1","AnyEnemy","","Exact","High","DealDamage; ChannelLightning","supported primitives only","DealDamage;ChannelLightning","","DamageVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BallLightning.cs"
"Barrage","Defect","Attack","Common","1","AnyEnemy","","Almost","Medium","DealDamage","calculated amount","DealDamage","","CalculatedVar;CalculationBaseVar;CalculationExtraVar;DamageVar;DynamicVar","OnPlay;OnUpgrade","Editor has matching primitives; calculated counts/filters/conditions need careful setup.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\Barrage.cs"
"BeamCell","Defect","Attack","Common","0","AnyEnemy","","Exact","High","DealDamage; ApplyVulnerable","supported primitives only","DealDamage;ApplyVulnerable","VulnerablePower","DamageVar;DynamicVar;PowerVar","OnPlay;OnUpgrade","Direct mapping to existing extra effects.","C:\Users\Bartek\OneDrive\Skrivebord\STS2 Modding MCP v3.8.0\sts2-modding-mcp\decompiled\MegaCrit.Sts2.Core.Models.Cards\BeamCell.cs"
